
Data Item Number,Data Item Name,Length,Source of Standard,Record Type,Section Name,XML NAACCR ID,Parent XML Element,Year Implemented,Version Implemented,Year Retired,Version Retired,NPCR Collect,CoC Collect,SEER Collect,CCCR Collect,Description,Rationale,Clarification,General Notes,Instructions for Coding,Allowable Values,Format,Data Type,Code Notes,Record Layout Table Note,Required Status Table Note,Data Descriptor Table Note,Record Layout Note,Required Status Note,Data Descriptor Note,Data Dictionary Description Note,Data Dictionary Rationale Note,Data Dictionary Code Note
1024,AJCC TNM Post Therapy Path (yp) Stage Group,15,AJCC,"A,C,I,M",Stage/Prognostic Factors,ajccTnmPostTherapyStageGroup,Tumor,2018,18,,,.,R,RC,R*,"Detailed site-specific codes for the postneoadjuvant therapy Path stage group as defined by AJCC.  
  
Clinical, pathological, and post therapy yc and yp stage data are given four separate areas in the NAACCR Data Exchange Record Layout.","CoC requires that AJCC TNM staging be used in its approved cancer programs. AJCC developed its staging system for evaluating trends in the treatment and control of cancer. This staging is used by physicians to estimate prognosis, to plan treatment, to evaluate new types of therapy, to analyze outcome, to design follow-up strategies, and to assess early detection results.  
  
Identifies the remaining anatomic extent of disease based on the T and N following the completion of neoadjuvant therapy (satisfying the definition for that disease site) and planned postneoadjuvant therapy surgical resection, and the M status defined during the diagnostic workup.",,,**Codes (in addition to those published in the AJCC Cancer Staging Manual)**,"See the AJCC Cancer Staging Manual for valid codes; also 88, 99",Left justified,text,"*Note*: See the AJCC Cancer Staging Manual, current edition for site-specific categories for the TNM categories and stage groups. See the CURRENT *STORE* manual for specifications for codes and data entry rules.",,,,,,,,,
1031,AJCC TNM Clin T Suffix,4,AJCC,"A,C,I,M",Stage/Prognostic Factors,ajccTnmClinTSuffix,Tumor,2018,18,,,.,R,RC,R*,"Detailed site-specific codes for the clinical T category suffix as defined by AJCC.  
  
Clinical, pathological, and postneoadjuvant therapy stage data are given three separate areas in the NAACCR Data Exchange Record Layout.","CoC requires that AJCC TNM staging be used in its approved cancer programs. AJCC developed its staging system for evaluating trends in the treatment and control of cancer. This staging is used by physicians to estimate prognosis, to plan treatment, to evaluate new types of therapy, to analyze outcome, to design follow-up strategies, and to assess early detection results",,,**Codes (as published in the AJCC Cancer Staging Manual)**,"See the AJCC Cancer Staging Manual for valid codes; also (m), (s), blank",Left justified,text,*Note*: Refer to the current AJCC Cancer Staging Manual for staging rules.,,,,,,,,,
1032,AJCC TNM Path T Suffix,4,AJCC,"A,C,I,M",Stage/Prognostic Factors,ajccTnmPathTSuffix,Tumor,,,,,.,R,RC,R*,"Detailed site-specific codes for the pathological T category suffix as defined by AJCC.  
  
Clinical, pathological, and postneoadjuvant therapy stage data are given three separate areas in the NAACCR Data Exchange Record Layout.","CoC requires that AJCC TNM staging be used in its approved cancer programs. AJCC developed its staging system for evaluating trends in the treatment and control of cancer. This staging is used by physicians to estimate prognosis, to plan treatment, to evaluate new types of therapy, to analyze outcome, to design follow-up strategies, and to assess early detection results.",,,**Codes (as published in the AJCC Cancer Staging Manual)**,"See the AJCC Cancer Staging Manual for valid codes; also (m), (s), Blank",Left justified,text,*Note*: Refer to the current AJCC Cancer Staging Manual for staging rules.,,,,,,,,,
1033,AJCC TNM Post Therapy Path (yp) T Suffix,4,AJCC,"A,C,I,M",Stage/Prognostic Factors,ajccTnmPostTherapyTSuffix,Tumor,2018,18,,,.,R,RC,R*,"Detailed site-specific codes for the postneoadjuvant therapy Path T category suffix as defined by AJCC.  
  
Clinical, pathological, and post therapy yc and yp stage data are given four separate areas in the NAACCR Data Exchange Record Layout.","CoC requires that AJCC TNM staging be used in its approved cancer programs. AJCC developed its staging system for evaluating trends in the treatment and control of cancer. This staging is used by physicians to estimate prognosis, to plan treatment, to evaluate new types of therapy, to analyze outcome, to design follow-up strategies, and to assess early detection results.",,,**Codes (as published in the AJCC Cancer Staging Manual)**,"See the AJCC Cancer Staging Manual for valid codes; also (m),(s), Blank",Left justified,text,*Note*: Refer to the current AJCC Cancer Staging Manual for staging rules.,,,,,,,,,
1034,AJCC TNM Clin N Suffix,4,AJCC,"A,C,I,M",Stage/Prognostic Factors,ajccTnmClinNSuffix,Tumor,,,,,.,R,RC,R*,"Detailed site-specific codes for the clinical N category suffix as defined by AJCC.  
  
Clinical, pathological, and postneoadjuvant therapy stage data are given three separate areas in the NAACCR Data Exchange Record Layout.","CoC requires that AJCC TNM staging be used in its approved cancer programs. AJCC developed its staging system for evaluating trends in the treatment and control of cancer. This staging is used by physicians to estimate prognosis, to plan treatment, to evaluate new types of therapy, to analyze outcome, to design follow-up strategies, and to assess early detection results.",,,**Codes**,"See the AJCC Cancer Staging Manual for valid codes; also (sn), (f), Blank",Left justified,text,*Note*: Refer to the current AJCC Cancer Staging Manual for staging rules.,,,,,,,,,
1035,AJCC TNM Path N Suffix,4,AJCC,"A,C,I,M",Stage/Prognostic Factors,ajccTnmPathNSuffix,Tumor,2018,18,,,.,R,RC,R*,"Detailed site-specific codes for the pathological N category suffix as defined by AJCC.  
  
Clinical, pathological, and postneoadjuvant therapy stage data are given three separate areas in the NAACCR Data Exchange Record Layout.","CoC requires that AJCC TNM staging be used in its approved cancer programs. AJCC developed its staging system for evaluating trends in the treatment and control of cancer. This staging is used by physicians to estimate prognosis, to plan treatment, to evaluate new types of therapy, to analyze outcome, to design follow-up strategies, and to assess early detection results.",,,**Codes**,"(sn), (f), Blank",Left justified,text,,,,,,,,,,
1036,AJCC TNM Post Therapy Path (yp) N Suffix,4,AJCC,"A,C,I,M",Stage/Prognostic Factors,ajccTnmPostTherapyNSuffix,Tumor,2018,18,,,.,R,RC,R*,"Detailed site-specific codes for the postneoadjuvant therapy Path N category suffix as defined by AJCC.  
  
Clinical, pathological, and post therapy yc and yp stage data are given four separate areas in the NAACCR Data Exchange Record Layout.","CoC requires that AJCC TNM staging be used in its approved cancer programs. AJCC developed its staging system for evaluating trends in the treatment and control of cancer. This staging is used by physicians to estimate prognosis, to plan treatment, to evaluate new types of therapy, to analyze outcome, to design follow-up strategies, and to assess early detection results.",,,**Codes**,"(sn), (f), Blank",Left justified,text,,,,,,,,,,
1060,TNM Edition Number,2,CoC,"A,C,I,M",Stage/Prognostic Factors,tnmEditionNumber,Tumor,,,,,.,R,RH,R,"A code that indicates the edition of the AJCC manual used to stage the case. This applies to the manually coded AJCC fields. It does not apply to the Derived AJCC T, N, M and AJCC Stage Group fields [2940, 2960, 2980, and 3000].","TNM codes have changed over time and conversion is not always simple. Therefore, a case-specific indicator is needed to allow grouping of cases for comparison.",,,**Codes**,"00-09, 88, 99","Right justified, zero filled",text,,,,,,,,,,
1062,AJCC TNM Post Therapy Clin (yc) T,15,AJCC,"A,C,I,M",Stage/Prognostic Factors,ajccTnmPostTherapyClinT,Tumor,2021,21,,,.,R,RC,.,"Detailed site-specific codes for the post therapy clinical (yc) tumor (T) as defined by AJCC.  
  
Clinical, pathological, and post therapy yc and yp stage data are given four separate areas in the NAACCR Data Exchange Record Layout.  
   
 ","CoC requires that AJCC TNM staging be used in its approved cancer programs. AJCC developed its staging system for evaluating trends in the treatment and control of cancer. This staging is used by physicians to estimate prognosis, to plan treatment, to evaluate new types of therapy, to analyze outcome, to design follow-up strategies, and to assess early detection results.  
  
Evaluates the primary tumor (T) and reflects the tumor size and/or extension of the tumor known following the completion of neoadjuvant therapy (satisfying the definition for that disease site) before planned surgical resection or primary treatment consisting of systemic and/or radiation therapy.",,,**Codes (in addition to those published in the AJCC Cancer Staging Manual)**,"Those published in the AJCC Cancer Staging Manual, 88, blank",,text,"*Note*: See the *AJCC Cancer Staging Manual*, current edition for site-specific categories for the TNM categories and stage groups. See the CURRENT *STORE* manual for specifications for codes and data entry rules.",,,,,,,,,
1063,AJCC TNM Post Therapy Clin (yc) T Suffix,4,AJCC,"A,C,I,M",Stage/Prognostic Factors,ajccTnmPostTherapyClinTSuffix,Tumor,2021,21,,,.,R,RC,.,"Detailed site-specific codes for the post therapy clinical (yc) tumor T category suffix as defined by AJCC.  
  
Clinical, pathological, and post therapy yc and yp stage data are given four separate areas in the NAACCR Data Exchange Record Layout.","CoC requires that AJCC TNM staging be used in its approved cancer programs. AJCC developed its staging system for evaluating trends in the treatment and control of cancer. This staging is used by physicians to estimate prognosis, to plan treatment, to evaluate new types of therapy, to analyze outcome, to design follow-up strategies, and to assess early detection results.",,,**Codes (as published in the AJCC Cancer Staging Manual)**,"(m), (s), blank",,text,*Note*: Refer to the current *AJCC Cancer Staging Manual* for staging rules.,,,,,,,,,
1064,AJCC TNM Post Therapy Clin (yc) N,15,AJCC,"A,C,I,M",Stage/Prognostic Factors,ajccTnmPostTherapyClinN,Tumor,2021,21,,,.,R,RC,.,"Detailed site-specific codes for the post therapy clinical (yc) nodes (N) as defined by AJCC.  
  
Clinical, pathological, and post therapy yc and yp stage data are given four separate areas in the NAACCR Data Exchange Record Layout.","CoC requires that AJCC TNM staging be used in its approved cancer programs. AJCC developed its staging system for evaluating trends in the treatment and control of cancer. This staging is used by physicians to estimate prognosis, to plan treatment, to evaluate new types of therapy, to analyze outcome, to design follow-up strategies, and to assess early detection results.  
  
Identifies the absence or presence of regional lymph node (N) metastasis and describes the extent of lymph node metastasis of the tumor known following the completion of neoadjuvant therapy (satisfying the definition for that disease site) before planned surgical resection or primary treatment consisting of systemic and/or radiation therapy.",,,**Codes (in addition to those published in the AJCC Cancer Staging Manual)**,"In addition to those published in the AJCC Cancer Staging Manual: 88, Blank",,text,"*Note*: See the *AJCC Cancer Staging Manual*, current edition for site-specific categories for the TNM categories and stage groups. See the CURRENT *STORE* manual for specifications for codes and data entry rules.",,,,,,,,,
1065,AJCC TNM Post Therapy Clin (yc) N Suffix,4,AJCC,"A,C,I,M",Stage/Prognostic Factors,ajccTnmPostTherapyClinNSuffix,Tumor,2021,21,,,.,R,RC,.,"Detailed site-specific codes for the post therapy clinical (yc) N category suffix as defined by AJCC.  
  
Clinical, pathological, and post therapy yc and yp stage data are given four separate areas in the NAACCR Data Exchange Record Layout.","CoC requires that AJCC TNM staging be used in its approved cancer programs. AJCC developed its staging system for evaluating trends in the treatment and control of cancer. This staging is used by physicians to estimate prognosis, to plan treatment, to evaluate new types of therapy, to analyze outcome, to design follow-up strategies, and to assess early detection results.",,,**Codes**,"(sn), (f), Blank",,text,,,,,,,,,,
